Name,Type,Possible values *,Added on,Description,Recommended to set *,Recommended setting *,Notes *,Additional information *,ID,Internal notes *
Google Cloud Platform - Resource Location Restriction,List,"
The available values are here https://cloud.google.com/resource-manager/docs/organization-policy/defining-locations#value_groups
Manually updated: 2022-09-12",2018-06,"This list constraint defines the set of locations where location-based Google Cloud resources can be created. Important: The information on this page does not describe Google Cloud Platform's data location commitments for Customer Data (as defined in the agreement under which Google has agreed to provide Google Cloud Platform services and as described in the Google Cloud Platform Services Summary at https://cloud.google.com/terms/services) to its customers. For the list of Google Cloud Platform services for which Customer Data location may be selected by customers, see Google Cloud Platform Services with Data Residency at https://cloud.google.com/terms/data-residency. By default, resources can be created in any location. For a full list of supported services, see https://cloud.google.com/resource-manager/docs/organization-policy/defining-locations-supported-services. Policies for this constraint can specify multi-regions such as asia and europe, regions such as us-east1 or europe-west1 as allowed or denied locations. Allowing or denying a multi-region does not imply that all included sub-locations should also be allowed or denied. For example, if the policy denies the us multi-region (which refers to multi-region resources, like some storage services), resources can still be created in the regional location us-east1. On the other hand, the in:us-locations group contains all locations within the us region, and can be used to block every region. We recommend using value groups to define your policy. You can specify value groups, collections of locations that are curated by Google to provide a simple way to define your resource locations. To use value groups in your organization policy, prefix your entries with the string in:, followed by the value group. For example, to create resources that will only be physically located within the US, set in:us-locations in the list of allowed values. If the suggested\_value field is used in a location policy, it should be a region. If the value specified is a region, a UI for a zonal resource may pre-populate any zone in that region. ",Should have,"
Enforce at the organization level when strict compliance policies must be adhered to. For example in EU,
compliance requirements may restrict the location of resources in specific GCP regions.

Another example is when an enterprise wants to have resources in the closest region to its location
for egress traffic costs and performance.
","
Every location to be allowed or denied must be listed explicitly. Policies can specify multi-regions,
regions or individual zones.
",,gcp.resourceLocations,"
[https://cloud.google.com/resource-manager/docs/organization-policy/defining-locations]
"
Restrict Resource Service Usage,List,,2019-02,"This constraint defines the set of Google Cloud resource services that can be used within an organization, folder, or project, such as compute.googleapis.com and storage.googleapis.com. By default, all Google Cloud resource services are allowed. For more information, see https://cloud.google.com/resource-manager/help/organization-policy/restricting-resources. ",Could have,,,,gcp.restrictServiceUsage,
Require Enabled Services Allow List for Cross-Organization Move,List,,2020-11,"This list constraint acts as a check to verify that a project with a service enabled is eligible for cross-organization move. A resource with a supported service enabled must have this constraint enforced and that supported service included in the allowed values to be eligible for a cross-organization move. The current list of allowed values for supported services that can be used is: [SHARED\_VPC]. This constraint provides an additional control on top of constraints/resourcemanager.allowedExportDestinations. This list\_constraint is empty by default and will not block cross organization moves unless a supported service is enabled on the resource to be exported. This constraint allows more fine-grained control over resources using features that require more caution when being moved to another organization. By default, a resource with a supported service enabled cannot be moved across organizations. ",Should have,,"
If you are setting the allowed destinations (resourcemanager.allowedExportDestinations), set this as well.
",,resourcemanager.allowEnabledServicesForExport,
Allowed Destinations for Exporting Resources,List,,2019-01,"This list constraint defines the set of external Organizations to which resources can be moved, and denies all moves to all other Organizations. By default, resources cannot be moved between Organizations. If this constraint is applied to a resource, the resource can be moved only to Organizations that are explicitly allowed by this constraint. Moves within an Organization are not governed by this constraint. The move operation will still require the same IAM permissions as normal resource moves. Values specified in allow/deny lists must be in the form: under:organizations/ORGANIZATION\_ID.",Should have,,,,resourcemanager.allowedExportDestinations,
Allowed Sources for Importing Resources,List,,2020-11,"This list constraint defines the set of external Organizations from which resources can be imported, and denies all moves from all other Organizations. By default, resources cannot be moved between Organizations. If this constraint is applied to a resource, imported resources directly under this resource must be explicitly allowed by this constraint. Moves within an Organization are not governed by this constraint. The move operation will still require the same IAM permissions as normal resource moves. Values specified in allow/deny lists must be in the form: under:organizations/ORGANIZATION\_ID.",Should have,,,,resourcemanager.allowedImportSources,
Restrict allowed Google Cloud APIs and services,List,,2017-02,"This list constraint restricts the set of services and their APIs that can be enabled on this resource. By default, all services are allowed. The denied list of services must come from the list below. Explicitly enabling APIs via this constraint is not currently supported. Specifying an API not in this list will result in an error. [ compute.googleapis.com , deploymentmanager.googleapis.com , dns.googleapis.com ]. Enforcement of this constraint is not retroactive. If a service is already enabled on a resource when this constraint is enforced, it will remain enabled.",Wont have,"
Not recommended to be used due to limited API coverage. Future roadmap will address this requirement further.

Only supports the following APIs: compute.googleapis.com, deploymentmanager.googleapis.com, dns.googleapis.com,
doubleclicksearch.googleapis.com, replicapool.googleapis.com, replicapoolupdater.googleapis.com,
resourceviews.googleapis.com
",,,serviceuser.services,"
Use Project Factory approach to restrict the APIs or use the
API police method.
"
Disable Project Security Contacts,Boolean,"
True, False
Manually updated: 2024-03-26",2022-08,"This boolean constraint, when enforced, allows organization policy administrators to ensure that only contacts assigned at the organization or folder level can receive security notifications. Specifically, enforcing this constraint blocks project owners and contact administrators from creating or updating an Essential Contact with a notification\_category\_subscriptions field that contains either the SECURITY or ALL category, if the contact also has a project resource as a parent.",Could have,,,,essentialcontacts.disableProjectSecurityContacts,
Allowed target types for jobs,List,,2022-08,"This list constraint defines the list of target types, such as App Engine HTTP, HTTP, or Pubsub, allowed for Cloud Scheduler jobs. By default, all job targets are allowed. Valid values are: APPENGINE, HTTP, PUBSUB.",Could have,,,,cloudscheduler.allowedTargetTypes,
Private Service Connect,,,,,,,,,,
Disable Private Service Connect for Consumers,List,,2021-06,"This list constraint defines the set of Private Service Connect endpoint types for which users cannot create forwarding rules. When this constraint is enforced, users will be blocked from creating forwarding rules for the Private Service Connect endpoint type. This constraint is not retroactively enforced. By default, forwarding rules can be created for any Private Service Connect endpoint type. The allowed/denied list of Private Service Connect endpoints must come from the list below: [GOOGLE\_APIS, SERVICE\_PRODUCERS]. Using GOOGLE\_APIS in the allowed/denied list will restrict the creation of Private Service Connect forwarding rules for accessing Google APIs. Using SERVICE\_PRODUCERS in the allowed/denied list will restrict the creation of Private Service Connect forwarding rules for accessing services in another VPC network.",Could have,,,,compute.disablePrivateServiceConnectCreationForConsumers,
Serverless Functions,,,,,,,,,,
Allowed ingress settings (Cloud Functions),List,"
INGRESS_SETTINGS_UNSPECIFIED, ALLOW_ALL, ALLOW_INTERNAL_ONLY, ALLOW_INTERNAL_AND_GCLB
Manually updated: 2024-03-26",2019-03,"This list constraint defines the allowed ingress settings for deployment of a Cloud Function (1st gen). When this constraint is enforced, functions will be required to have ingress settings that match one of the allowed values. By default, Cloud Functions can use any ingress settings. Ingress settings must be specified in the allowed list using the values of the IngressSettings enum. The enum has a default value of INGRESS\_SETTINGS\_UNSPECIFIED. The enum must be changed to another value before you can use it in an organization policy.For Cloud Functions (2nd gen) use the constraint constraints/run.allowedIngress.",Should have,"
Eliminating INGRESS_SETTINGS_UNSPECIFIED makes this choice more conscious - this can be enabled at org level.

Can be enforced as ALLOW_INTERNAL_ONLY for projects where the functions shouldn't be called outside of VPC-SC
perimeter or outside of VPCs that do not belong to the same project. Note that if a Cloud Function is NOT set
as allow internal only, it doesn't mean it's &quot;public&quot; (public functions need explicit IAM grants).

Recommended setting for a good balance of flexibility and security would be ALLOW_INTERNAL_AND_GCLB, to allow
functions to either completely internal or require a load balancer in front of them.
","
Pay attention that the organization policies go into effect for new function deployments only.
","
https://cloud.google.com/functions/docs/networking/network-settings

https://cloud.google.com/functions/docs/securing/using-vpc-service-controls#set_up_organization_policies
",cloudfunctions.allowedIngressSettings,
Allowed VPC Connector egress settings (Cloud Functions),List,"
VPC_CONNECTOR_EGRESS_SETTINGS_UNSPECIFIED, PRIVATE_RANGES_ONLY, ALL_TRAFFIC
Manually updated: 2024-03-26",2019-03,"This list constraint defines the allowed VPC Connector egress settings for deployment of a Cloud Function (1st gen). When this constraint is enforced, functions will be required to have VPC Connector egress settings that match one of the allowed values. By default, Cloud Functions can use any VPC Connector egress settings. VPC Connector egress settings must be specified in the allowed list using the values of the VpcConnectorEgressSettings enum. The default value of the enum, VPC\_CONNECTOR\_EGRESS\_SETTINGS\_UNSPECIFIED, is not supported, and including it in a policy results in an error.For Cloud Functions (2nd gen) use the constraint constraints/run.allowedVPCEgress.",Should have,"
Eliminating VPC_CONNECTOR_EGRESS_SETTINGS_UNSPECIFIED makes this choice more conscious - this can be enabled
at org level. In a centralized IT team approach, this also means that the central team needs to configure
Serverless VPC Access connector on the VPC and the business unit teams need to make their Cloud Functions
configured to use it. This will also give the BU teams the flexibility to connect their Cloud Functions to
GCP services that support only private IP access (example Memorystore).

For specific projects the egress setting can be enforced to ALL_TRAFFIC which means all traffic (not only
for private IP space) should go through the Serverless VPC Access connector aka routed through your VPC and
follows the rules set on your VPC network.

This also means that if the function needs to access the Internet, central team needs to configure Cloud
NAT on the network. ALL_TRAFFIC can be set on those projects where the Cloud Functions need a fixed egress IP
(for allowlisting in external systems) regardless if the flow needs to go to private IP space or if you want
to control 100% of your flows from the functions via the rules set on your network.
","
Note: Serverless VPC Access supports Shared VPC.
","
https://cloud.google.com/functions/docs/networking/network-settings

https://cloud.google.com/functions/docs/securing/using-vpc-service-controls#set_up_organization_policies
",cloudfunctions.allowedVpcConnectorEgressSettings,
Require VPC Connector (Cloud Functions),Boolean,"
True, False
Manually updated: 2024-03-26",2019-03,"This boolean constraint enforces setting a VPC Connector when deploying a Cloud Function (1st gen). When this constraint is enforced, functions will be required to specify a VPC Connector. By default, specifying a VPC Connector is not required to deploy a Cloud Function.",Should have,"
If you enable egress setting (cloudfunctions.allowedVpcConnectorEgressSettings), this is by
default a requirement.
",,"
https://cloud.google.com/functions/docs/networking/network-settings

https://cloud.google.com/functions/docs/securing/using-vpc-service-controls#set_up_organization_policies
",cloudfunctions.requireVPCConnector,
Allowed Binary Authorization Policies (Cloud Run),List,,2021-03,"This list constraint defines the set of Binary Authorization policy names that are allowed to be specified on a Cloud Run resource. To allow/disallow a default policy, use the value \`default\`. To allow/disallow one or more custom platform policies, the resource ID of each such policy must be added separately.",Could have,,,,run.allowedBinaryAuthorizationPolicies,
Allowed ingress settings (Cloud Run),List,"
INGRESS_SETTINGS_UNSPECIFIED, ALLOW_ALL, ALLOW_INTERNAL_ONLY, ALLOW_INTERNAL_AND_GCLB
Manually updated: 2024-03-26",2021-02,"This list constraint defines the allowed ingress settings for Cloud Run services. When this constraint is enforced, services will be required to have ingress settings that match one of the allowed values. Existing Cloud Run services with ingress settings that violate this constraint can continue to be updated until the service's ingress settings are changed to comply with this constraint. Once a service complies with this constraint the service can only use ingress settings allowed by this constraint. By default, Cloud Run services can use any ingress settings. The allowed list must contain supported ingress settings values, which are all, internal, and internal-and-cloud-load-balancing.",Should have,,"
Eliminating INGRESS_SETTINGS_UNSPECIFIED makes this choice more conscious - this can be enabled at org level.

Can be enforced as ALLOW_INTERNAL_ONLY for projects where the functions shouldn't be called outside of VPC-SC
perimeter or outside of VPCs that do not belong to the same project. Note that if a Cloud Function is NOT set
as allow internal only, it doesn't mean it's &quot;public&quot; (public functions need explicit IAM grants).

Recommended setting for a good balance of flexibility and security would be ALLOW_INTERNAL_AND_GCLB, to allow
functions to either completely internal or require a load balancer in front of them.
","
https://cloud.google.com/functions/docs/networking/network-settings

https://cloud.google.com/functions/docs/securing/using-vpc-service-controls#set_up_organization_policies
",run.allowedIngress,
Allowed VPC egress settings (Cloud Run),List,"
VPC_CONNECTOR_EGRESS_SETTINGS_UNSPECIFIED, PRIVATE_RANGES_ONLY', ALL_TRAFFIC
Manually updated: 2024-03-26",2021-02,"This list constraint defines the allowed VPC egress settings to be specified on a Cloud Run resource. When this constraint is enforced, Cloud Run resources are required to be deployed with a Serverless VPC Access connector or with Direct VPC egress enabled, and VPC egress settings are required to match one of the allowed values. By default, Cloud Run resources can set VPC egress settings to any supported value. The allowed list must contain supported VPC egress settings values, which are private-ranges-only and all-traffic.For existing Cloud Run services, all new revisions must comply with this constraint. Existing services with revisions serving traffic that violate this constraint can continue to migrate traffic to revisions that violate this constraint. Once all traffic for a service is served by revisions compliant with this constraint, all subsequent traffic migrations must only migrate traffic to revisions that comply with this constraint.",Should have,"
Eliminating VPC_CONNECTOR_EGRESS_SETTINGS_UNSPECIFIED makes this choice more conscious - this can be enabled
at org level. In a centralized IT team approach, this also means that the central team needs to configure
Serverless VPC Access connector on the VPC and the business unit teams need to make their Cloud Functions
configured to use it. This will also give the BU teams the flexibility to connect their Cloud Functions to
GCP services that support only private IP access (example Memorystore).

For specific projects the egress setting can be enforced to ALL_TRAFFIC which means all traffic (not only
for private IP space) should go through the Serverless VPC Access connector aka routed through your VPC and
follows the rules set on your VPC network.

This also means that if the function needs to access the Internet, central team needs to configure Cloud
NAT on the network. ALL_TRAFFIC can be set on those projects where the Cloud Functions need a fixed egress IP
(for allowlisting in external systems) regardless if the flow needs to go to private IP space or if you want
to control 100% of your flows from the functions via the rules set on your network.
","
Note: Serverless VPC Access supports Shared VPC.
","
https://cloud.google.com/functions/docs/networking/network-settings

https://cloud.google.com/functions/docs/securing/using-vpc-service-controls#set_up_organization_policies
",run.allowedVPCEgress,
Allowed Cloud Functions Generations,List,Manually updated: 2022-08-26,2023-05,"This list constraint defines the set of allowed Cloud Function Generations that can be used to create new Function resources. Valid values are: 1stGen, 2ndGen.",Could have,,,,cloudfunctions.restrictAllowedGenerations,
Storage,,,,,,,,,,
Enforce Public Access Prevention,Boolean,"
True, False
Manually updated: 2024-03-26",2020-11,"Secure your Cloud Storage data from public exposure by enforcing public access prevention. This governance policy prevents existing and future resources from being accessed via the public internet by disabling and blocking ACLs and IAM permissions that grant access to allUsers and allAuthenticatedUsers. Enforce this policy on the entire organization (recommended), specific projects, or specific folders to ensure no data is publicly exposed.This policy overrides existing public permissions. Public access will be revoked for existing buckets and objects after this policy is enabled. For more details on the effects of changing enforcement of this constraint on resources, please see: https://cloud.google.com/storage/docs/public-access-prevention.",Must have,,,,storage.publicAccessPrevention,
Cloud Storage - restrict authentication types,List,,2021-09,The constraint defines the set of authentication types that would be restricted from accessing any storage resources under the organization in Cloud Storage. Supported values are USER\_ACCOUNT\_HMAC\_SIGNED\_REQUESTS and SERVICE\_ACCOUNT\_HMAC\_SIGNED\_REQUESTS. Use in:ALL\_HMAC\_SIGNED\_REQUESTS to include both.,Could have,,,,storage.restrictAuthTypes,
Retention policy duration in seconds,List,,2017-12,"This list constraint defines the set of durations for retention policies that can be set on Cloud Storage buckets. By default, if no organization policy is specified, a Cloud Storage bucket can have a retention policy of any duration. The list of allowed durations must be specified as a positive integer value greater than zero, representing the retention policy in seconds. Any insert, update, or patch operation on a bucket in the organization resource must have a retention policy duration that matches the constraint. Enforcement of this constraint is not retroactive. When a new organization policy is enforced, the retention policy of existing buckets remains unchanged and valid.",Could have,"
Enable at Logs folder so that you can specify retention duration on log's folder (min duration) so
that you ensure the logs are not deleted for X period due to your legal constraints.

Even in centralized approach where IT team handles this, applying it avoids legal consequences in
case of mistakes.

By default GCS keeps data indefinitely.
","
Be aware of the consequences of this policy if you enable it on other folders then logs - Dataproc
for example sets a specific data retention period.

The retention policy also makes mandatory specifying the retention duration on the bucket.

Also note for bucket retention policy, it prevents you to delete objects inside the bucket but not
the bucket itself.

Please note all previously created buckets do not inherit retention policy.
","
https://cloud.google.com/storage/docs/setting-org-policies#retention-policy
",storage.retentionPolicySeconds,
Enforce uniform bucket-level access,Boolean,"
True, False
Manually updated: 2024-03-26",2019-08,"This boolean constraint requires buckets to use uniform bucket-level access where this constraint is set to True. Any new bucket in the Organization resource must have uniform bucket-level access enabled, and no existing buckets in the organization resource can disable uniform bucket-level access. Enforcement of this constraint is not retroactive: existing buckets with uniform bucket-level access disabled continue to have it disabled. The default value for this constraint is False. Uniform bucket-level access disables the evaluation of ACLs assigned to Cloud Storage objects in the bucket. Consequently, only IAM policies grant access to objects in these buckets.",Must have,"
Enable it at Org or Project Level - it is much easier to control your buckets this way -
you may still have cases where you need to enable access on object level - in which case
maybe you can separate those in separate projects.

By default, object-level ACLs can be used to override bucket level access controls.
","
Any new bucket must have uniform bucket-level access enabled, and no existing buckets can disable it.

Uniform bucket-level access disables the evaluation of object-level ACLs in the bucket.
Consequently, only IAM policies grant access to objects in these buckets.

Managed services as Cloud Function create GCS buckets under the hood. Without this org
policy some of the buckets can be using ACL, hovewer setting this Org Policy does not prevent
creating new GCF as the new buckets change the mode to Uniform.
","
https://cloud.google.com/storage/docs/setting-org-policies#uniform-bucket
",storage.uniformBucketLevelAccess,
Restrict unencrypted HTTP access,Boolean,"
True, False
Manually updated: 2024-03-26",2023-08,"This boolean constraint, when enforced, explicitly denies HTTP (unencrypted) access to all storage resources. By default, the Cloud Storage XML API allows unencrypted HTTP access. Note that the Cloud Storage JSON API, gRPC, and Cloud console only allow encrypted HTTP access to Cloud Storage resources.",Must have,,,,storage.secureHttpTransport,
Cloud Storage - soft delete policy retention duration in seconds,List,,2024-05,"This constraint defines the allowable retention durations for soft delete policies set on Cloud Storage buckets where this constraint is enforced. Any insert, update, or patch operation on a bucket where this constraint is enforced must have a soft delete policy duration that matches the constraint. When a new organization policy is enforced, the soft delete policy of existing buckets remains unchanged and valid. By default, if no organization policy is specified, a Cloud Storage bucket can have a soft delete policy of any duration.",Should have,,,,storage.softDeletePolicySeconds,
Unclassified,,,,,,,,,,
Disable service account creation,Boolean,"
True, False
Manually updated: 2025-03-09",2025-03,"This boolean constraint disables the creation of service accounts where this constraint is set to \`True\`. By default, service accounts can be created by users based on their Cloud IAM roles and permissions.",,,,,iam.managed.disableServiceAccountCreation,
Require IAM invoker check for Cloud Run services,Boolean,"
True, False
Manually updated: 2025-03-09",2025-03,"When enforced, this constraint requires the IAM invoker check to be enabled on Cloud Run services. If this constraint is not enforced, you can set the service.invoker\_iam\_disabled field (v2), or the run.googleapis.com/invoker-iam-disabled annotation (v1) on Cloud Run services to True. The invoker\_iam\_disabled field is currently available by invitation-only and will not be broadly available until after March 21, 2025. It's still possible to achieve a similar result by granting the run.routes.invoke permission to allUsers.",Could have,,,,run.managed.requireInvokerIam,
Restrict endpoint usage,List,Manually updated: 2024-03-26,2025-04,"This list constraint defines the set of Google Cloud API endpoints that can be used to access resources in an organization, folder, or project.This constraint can be used to block access to Google Cloud resources through global API endpoints, enforcing that locational or regional endpoints be used. For example, specifying bigquery.googleapis.com in this policy's denylist will cause requests to bigquery.googleapis.com/... to fail but requests to {location}-bigquery.googleapis.com/... succeed.By default, access to all Google Cloud API endpoints is allowed.The denied list of endpoints must come from the list below. Trying to save the denied list with other values will fail.For more information, including the list of valid constraint values, please refer to the Restrict endpoint usage user guide.",,,,,gcp.restrictEndpointUsage,
Require enabling Binary Authorization for GKE clusters.,Boolean,"
True, False
Manually updated: 2025-04-19",2025-04,"Enable Binary Authorization when creating or updating GKE clusters. For details, see https://cloud.google.com/binary-authorization/docs/setting-up.",,,,,container.managed.enableBinaryAuthorization,
Require enabling Google Groups for RBAC in GKE clusters.,Boolean,"
True, False
Manually updated: 2025-04-19",2025-04,"Enable Google Groups for RBAC when creating or updating GKE clusters. For details, see https://cloud.google.com/kubernetes-engine/docs/how-to/google-groups-rbac.",,,,,container.managed.enableGoogleGroupsRBAC,
Require enabling network policy enforcement in GKE clusters.,Boolean,"
True, False
Manually updated: 2025-04-19",2025-04,"Enable the use of Kubernetes NetworkPolicies by enabling network policy enforcement or GKE Dataplane V2. For details, see https://cloud.google.com/kubernetes-engine/docs/how-to/network-policy or https://cloud.google.com/kubernetes-engine/docs/how-to/dataplane-v2.",,,,,container.managed.enableNetworkPolicy,
Require enabling Security Bulletin Notifications in GKE clusters.,Boolean,"
True, False
Manually updated: 2025-04-19",2025-04,"Enable Security Bulletin Notifications when creating or updating GKE clusters. For details, see https://cloud.google.com/kubernetes-engine/docs/concepts/cluster-notifications#securitybulletin",,,,,container.managed.enableSecurityBulletinNotifications,
Require enabling Workload Identity Federation for GKE.,Boolean,"
True, False
Manually updated: 2025-04-19",2025-04,"Enable Workload Identity Federation for GKE when creating or updating clusters. For details, see https://cloud.google.com/kubernetes-engine/docs/how-to/workload-identity.",,,,,container.managed.enableWorkloadIdentityFederation,
Disallow using the default Compute Engine service account as the node pool service account.,Boolean,"
True, False
Manually updated: 2025-04-19",2025-04,"Don't use the default Compute Engine service account as the cluster or node pool service account. Use a minimally-privileged IAM service account instead. For details, see https://cloud.google.com/kubernetes-engine/docs/how-to/hardening-your-cluster#use_least_privilege_sa",,,,,container.managed.disallowDefaultComputeServiceAccount,
Require using only the DNS-based endpoint to access GKE clusters.,Boolean,"
True, False
Manually updated: 2025-04-19",2025-04,"Enable the DNS-based endpoint for GKE control plane access and disable IP-based endpoints when creating or updating clusters. For details, see https://cloud.google.com/kubernetes-engine/docs/how-to/latest/network-isolation#dns-based-endpoint.",,,,,container.managed.enableControlPlaneDNSOnlyAccess,
Require enabling private nodes in GKE clusters.,Boolean,"
True, False
Manually updated: 2025-04-19",2025-04,"Enable private nodes when creating or updating GKE clusters and node pools. For details, see https://cloud.google.com/kubernetes-engine/docs/how-to/latest/network-isolation#configure-cluster-networking.",,,,,container.managed.enablePrivateNodes,
Require enabling self-managed secrets Encryption in GKE clusters.,Boolean,"
True, False
Manually updated: 2025-04-19",2025-04,"Enable Secret encryption with self-managed keys when creating or updating GKE clusters. For details, see https://cloud.google.com/kubernetes-engine/docs/how-to/encrypting-secrets.",,,,,container.managed.enableSecretsEncryption,
Requires disabling RBAC bindings to system identities in GKE clusters.,Boolean,"
True, False
Manually updated: 2025-04-19",2025-04,"Disable non-default ClusterRoleBindings and RoleBindings that reference the system:anonymous, system:authenticated, or system:unauthenticated system identities when creating or updating GKE clusters. For details, see https://cloud.google.com/kubernetes-engine/docs/best-practices/rbac#prevent-default-group-usage",,,,,container.managed.disableRBACSystemBindings,
VM Manager - Restrict inline script and output file usage,Boolean,"
True, False
Manually updated: 2025-05-21",2025-05,"This boolean constraint, when set to 'True', enforces compliance with Assured Workloads requirements by restricting the creation or modification of VM Manager resources that use inline scripts or binary output files. Specifically, the 'script' and 'output\_file\_path' fields within the OSPolicyAssignment and PolicyOrchestrator resources must remain empty.",,,,,osconfig.restrictInlineScriptAndOutputFileUsage,
Restrict TLS Cipher Suites,List,,2025-05,"This list constraint defines the set of TLS cipher suites that can be used to access resources in an organization, folder, or project where this constraint is enforced.By default, all TLS cipher suites are allowed. TLS cipher suites can be specified as an allowlist or a denylist and must be identified using their names. For example, TLS\_ECDHE\_RSA\_WITH\_AES\_256\_GCM\_SHA384, TLS\_AES\_128\_GCM\_SHA256.You can also specify value groups, collections of cipher suites that are curated by Google to provide a simple way to define the constraint. To use value groups in your organization policy, prefix your entries with the string in:, followed by the value group. For example, in:CNSA-2.0-recommended-ciphers.This constraint is only applied to requests using TLS. It will not be used to restrict unencrypted requests.For more information, please refer to the Restrict TLS Cipher Suites user guide.",,,,,gcp.restrictTLSCipherSuites,
Disable Grounding with Google Search in generative AI APIs,Boolean,"
True, False
Manually updated: 2025-05-21",2025-05,"This boolean constraint, when enforced, disables Grounding with Google Search feature in generative AI APIs. By default the feature is enabled.",,,,,vertexai.disableGenAIGoogleSearchGrounding,
Block service account API key bindings,Boolean,"
True, False
Manually updated: 2025-05-21",2025-05,"When enforced, disables creation of API Keys bound to service accounts.",,,,,iam.managed.disableServiceAccountApiKeyCreation,
Block Compute Engine Preview Features,Boolean,"
True, False
Manually updated: 2025-05-21",2025-05,This constraint ensures that preview feature updates are blocked unless explicitly allowed. You control which preview features can be updated by specifying them individually for your project. It allows only those preview features to be access in your organization. Current scope is limited to Compute Alpha API access.,,,,,compute.managed.blockPreviewFeatures,
Disables Topic Single Message Transforms (SMTs),Boolean,"
True, False
Manually updated: 2025-05-21",2025-05,"Do not configure or modify this policy. This constraint is automatically configured during Assured Workloads onboarding and is only intended for advanced regulatory control for Assured Workloads. When this boolean constraint is enforced, Pub/Sub Topics cannot set Single Message Transforms (SMTs).",,,,,pubsub.managed.disableTopicMessageTransforms,
Disables Subscription Single Message Transforms (SMTs),Boolean,"
True, False
Manually updated: 2025-05-21",2025-05,"Do not configure or modify this policy. This constraint is automatically configured during Assured Workloads onboarding and is only intended for advanced regulatory control for Assured Workloads. When this boolean constraint is enforced, Pub/Sub Subscriptions cannot set Single Message Transforms (SMTs).",,,,,pubsub.managed.disableSubscriptionMessageTransforms,
Vertex AI,,,,,,,,,,
Define access mode for Vertex AI Workbench notebooks and instances,List,,2023-08,This list constraint defines the modes of access allowed to Vertex AI Workbench notebooks and instances where enforced. The allow or deny list can specify multiple users with the service-account mode or single-user access with the single-user mode. The access mode to be allowed or denied must be listed explicitly.,Should have,,,,ainotebooks.accessMode,
Disable file downloads on new Vertex AI Workbench instances,Boolean,"
True, False
Manually updated: 2024-03-26",2023-08,"This boolean constraint, when enforced, prevents the creation of Vertex AI Workbench instances with the file download option enabled. By default, the file download option can be enabled on any Vertex AI Workbench instance.",Could have,,,,ainotebooks.disableFileDownloads,
Disable root access on new Vertex AI Workbench user-managed notebooks and instances,Boolean,"
True, False
Manually updated: 2024-03-26",2023-08,"This boolean constraint, when enforced, prevents newly created Vertex AI Workbench user-managed notebooks and instances from enabling root access. By default, Vertex AI Workbench user-managed notebooks and instances can have root access enabled.",Could have,,,,ainotebooks.disableRootAccess,
Disable terminal on new Vertex AI Workbench instances,Boolean,"
True, False
Manually updated: 2024-03-26",2023-08,"This boolean constraint, when enforced, prevents the creation of Vertex AI Workbench instances with the terminal enabled. By default, the terminal can be enabled on Vertex AI Workbench instances.",Could have,,,,ainotebooks.disableTerminal,
Restrict environment options on new Vertex AI Workbench user-managed notebooks,List,,2023-08,"This list constraint defines the VM and container image options a user can select when creating new Vertex AI Workbench user-managed notebooks. The options to be allowed or denied must be listed explicitly.The expected format for VM instances is ainotebooks-vm/PROJECT\_ID/IMAGE\_TYPE/CONSTRAINED\_VALUE. Replace IMAGE\_TYPE with image-family or image-name. Examples: ainotebooks-vm/deeplearning-platform-release/image-family/pytorch-1-4-cpu, ainotebooks-vm/deeplearning-platform-release/image-name/pytorch-latest-cpu-20200615.The expected format for container images will be ainotebooks-container/CONTAINER\_REPOSITORY:TAG. Examples: ainotebooks-container/gcr.io/deeplearning-platform-release/tf-gpu.1-15:latest, ainotebooks-container/gcr.io/deeplearning-platform-release/tf-gpu.1-15:m48.",Could have,,,,ainotebooks.environmentOptions,
Require automatic scheduled upgrades on new Vertex AI Workbench user-managed notebooks and instances,Boolean,"
True, False
Manually updated: 2024-03-26",2023-08,"This boolean constraint, when enforced, requires that newly created Vertex AI Workbench user-managed notebooks and instances have an automatic upgrade schedule set. The automatic upgrade schedule can be defined by using the \`notebook-upgrade-schedule\` metadata flag to specify a cron schedule for the automatic upgrades. For example: \`--metadata=notebook-upgrade-schedule=""00 19 \* \* MON""\`.",Must have,,,,ainotebooks.requireAutoUpgradeSchedule,
Restrict VPC networks on new Vertex AI Workbench instances,List,,2023-08,"This list constraint defines the VPC networks a user can select when creating new Vertex AI Workbench instances where this constraint is enforced. By default, a Vertex AI Workbench instance can be created with any VPC networks. The allowed or denied list of networks must be identified in the form: under:organizations/ORGANIZATION\_ID, under:folders/FOLDER\_ID, under:projects/PROJECT\_ID, or projects/PROJECT\_ID/global/networks/NETWORK\_NAME.",Could have,,,,ainotebooks.restrictVpcNetworks,
Restrict public IP access on new Vertex AI Workbench notebooks and instances,Boolean,"
True, False
Manually updated: 2024-03-26",2023-08,"This boolean constraint, when enforced, restricts public IP access to newly created Vertex AI Workbench notebooks and instances. By default, public IPs can access Vertex AI Workbench notebooks and instances.",Should have,,,,ainotebooks.restrictPublicIp,
